#ID	Group	Solicit	Course	Entity	Day	Hour	Bld	Type	Room	Vacanc	Matric	Priori	Special
180 43 45 41 13 6 4 2 1 39 48 39 1 1 
181 43 45 41 13 6 5 2 1 39 48 39 1 1 
182 44 46 177 12 3 4 2 1 36 40 27 1 1 
183 44 46 177 12 3 5 2 1 36 40 27 1 1 
184 44 46 177 12 5 2 2 1 55 40 27 1 1 
185 44 46 177 12 5 3 2 1 55 40 27 1 1 
186 34 47 12 13 6 2 2 1 31 50 15 1 1 
187 34 47 12 13 6 3 2 1 31 50 15 1 1 
188 34 47 12 13 6 4 2 1 31 50 15 1 1 
189 34 47 12 13 6 5 2 1 31 50 15 1 1 
190 45 48 83 17 2 2 4 3 109 40 38 1 1 
191 45 48 83 17 2 3 4 3 109 40 38 1 1 
192 45 48 83 17 2 4 4 3 109 40 38 1 1 
193 45 48 83 17 2 5 4 3 109 40 38 1 1 
194 45 48 83 17 5 2 4 3 109 40 38 1 1 
195 45 48 83 17 5 3 4 3 109 40 38 1 1 
196 45 48 83 17 5 4 4 3 109 40 38 1 1 
197 45 48 83 17 5 5 4 3 109 40 38 1 1 
198 43 49 41 13 2 4 2 1 32 48 36 1 1 
199 43 49 41 13 2 5 2 1 32 48 36 1 1 
200 43 49 41 13 6 2 2 1 40 48 36 1 1 
201 43 49 41 13 6 3 2 1 40 48 36 1 1 
206 47 51 18 33 5 2 4 1 -1 30 30 1 1 
207 47 51 18 33 5 3 4 1 -1 30 30 1 1 
208 47 51 18 33 5 4 4 1 -1 30 30 1 1 
209 47 51 18 33 5 5 4 1 -1 30 30 1 1 
210 48 52 8 8 6 8 5 1 63 50 34 1 1 
211 48 52 8 8 6 9 5 1 63 50 34 1 1 
212 48 52 8 8 6 10 5 1 63 50 34 1 1 
213 48 52 8 8 6 11 5 1 63 50 34 1 1 
214 49 53 166 8 3 8 1 1 8 40 45 1 1 
215 49 53 166 8 3 9 1 1 8 40 45 1 1 
216 49 53 166 8 3 10 1 1 2 40 45 1 1 
217 49 53 166 8 3 11 1 1 2 40 45 1 1 
218 22 54 5 27 5 8 4 1 123 35 23 1 1 
219 22 54 5 27 5 9 4 1 123 35 23 1 1 
220 22 54 5 27 5 10 4 1 123 35 23 1 1 
221 22 54 5 27 5 11 4 1 123 35 23 1 1 
222 50 55 103 42 3 8 2 1 48 34 23 1 1 
223 50 55 103 42 3 9 2 1 48 34 23 1 1 
228 17 57 178 18 4 2 4 1 120 60 45 1 1 
229 17 57 178 18 4 3 4 1 120 60 45 1 1 
230 17 57 178 18 4 4 4 1 120 60 45 1 1 
231 17 57 178 18 4 5 4 1 120 60 45 1 1 
232 52 58 41 13 3 2 2 1 32 48 39 1 1 
233 52 58 41 13 3 3 2 1 32 48 39 1 1 
234 52 58 41 13 5 2 2 1 40 48 39 1 1 
235 52 58 41 13 5 3 2 1 40 48 39 1 1 
242 55 61 142 14 5 15 17 1 262 25 15 1 1 
243 55 61 142 14 5 16 17 1 262 25 15 1 1 
244 55 61 142 14 5 17 17 1 252 25 15 1 1 
245 55 61 142 14 5 17 17 1 262 25 15 1 1 
246 56 62 155 34 3 4 1 1 1 45 23 1 1 
247 56 62 155 34 3 5 1 1 1 45 23 1 1 
248 56 62 155 34 5 4 1 1 1 45 23 1 1 
249 56 62 155 34 5 5 1 1 1 45 23 1 1 
250 57 63 5 27 3 2 4 1 -1 27 34 1 1 
251 57 63 5 27 3 3 4 1 -1 27 34 1 1 
252 57 63 5 27 3 4 4 1 -1 27 34 1 1 
253 57 63 5 27 3 5 4 1 -1 27 34 1 1 
254 58 64 41 13 4 16 2 1 56 48 24 1 1 
255 58 64 41 13 4 17 2 1 41 48 24 1 1 
256 58 64 41 13 6 16 2 1 45 48 24 1 1 
257 58 64 41 13 6 17 2 1 45 48 24 1 1 
258 59 65 133 34 2 8 1 1 14 60 65 1 1 
259 59 65 133 34 2 9 1 1 14 60 65 1 1 
260 59 65 133 34 4 8 1 1 23 60 65 1 1 
