#ID	Group	Course	Vacanc	Matric	Priori	Special	Name
1479	120	87	40	24	1	1	Química Inorgânica
1480	467	74	40	39	1	1	Projeto De Software
1482	77	58	40	32	1	1	Antropologia 1
1483	116	18	30	22	1	1	Metodologia De Ensino De Geografia I
1485	310	43	50	1	2	1	Introdução À Ciência Política
1486	351	60	50	8	1	1	Sistemas Operacionais
1487	156	40	61	67	1	1	Matemática Financeira
1489	469	78	10	10	1	1	Trabalho De Conclusão De Curso Ii
1490	107	53	45	44	1	1	Epidemiologia
1491	60	92	52	39	1	1	Química Geral
1493	409	5	51	55	1	1	Rp Especializada I
1494	13	43	60	57	1	1	Administração
1496	51	110	55	44	2	1	Tópicos Em Gestão Da Informação I
1497	322	145	15	5	1	1	Pesquisa Histórica Ii
1498	470	93	30	25	1	1	Ecologia Comportamental
1500	273	161	40	36	1	1	Imunologia Básica
1501	254	105	50	35	1	1	História Dos Museus
1502	161	87	50	49	1	1	Fundamentos De Higiene E Segurança Do Trabalho
1506	472	12	30	15	1	1	Elaboração E Análise De Projetos
1507	139	166	50	71	1	1	Física I
1509	449	76	30	9	2	1	Controle Digital De Processos
1510	79	155	54	72	1	1	Mecânica Clássica I
1511	252	5	35	27	2	1	Tópicos Contemporâneos: Mídias Digitais
1513	30	155	55	68	1	1	Física Iii
1514	473	120	40	7	1	1	Métodos E Técnicas De Pesquisa Social Ii
1515	184	13	50	41	1	1	Estatística
1516	446	40	50	42	1	1	Direito Empresarial
1517	474	91	40	29	1	1	Química Ambiental
1519	380	76	50	51	1	1	Física 3
1522	144	152	50	39	1	1	Tópicos De Ontologia E Metafísica
1523	109	41	48	48	1	1	Sistemas De Informações Contábeis
1524	157	154	50	52	1	1	Física Iv
1525	275	18	30	23	1	1	Trabalho De Conclusão De Curso I
1526	476	12	55	41	1	1	Cálculo 2b
1528	115	77	20	20	1	1	Cálculo Iii
1529	340	40	50	54	1	1	Fundamentos Da Macroeconomia
1530	198	13	50	23	1	1	Linguagem E Matemática
1531	364	35	30	7	1	1	Prática De Campo Em Geografia
1533	368	12	60	56	1	1	Cálculo 1b
1534	340	40	50	54	1	1	Direito Tributário
1538	186	157	50	35	1	1	Química Geral Teórica
1539	224	18	40	39	1	1	Fundamentos Filosóficos E Sócio-Históricos Da Educ
1540	158	83	40	28	1	1	Teorias Da Arquitetura
1542	208	91	40	13	1	1	Fundamentos Filosófico E Sócio-Histór. Da Educação
1544	144	152	65	49	1	1	Lógica
1545	34	12	40	35	1	1	Economia Brasileira Ii
1546	34	12	30	16	1	1	Teoria Dos Jogos
1549	82	93	55	41	1	1	Ecologia Comportamental
1550	477	120	20	7	1	1	Trabalho De Conclusão De Curso Ii
1551	418	4	60	42	1	1	Língua Portuguesa
1552	478	53	55	49	1	1	Físico-Química
1553	77	58	40	28	1	1	Introdução À Metodologia Científica
1554	194	8	15	25	1	1	Físico-Química
1558	28	88	7	1	1	1	Saúde Coletiva I
1559	283	158	31	32	1	1	Anatomia Vegetal
1561	161	87	50	50	1	1	Química Fundamental
1564	479	53	50	43	1	1	Toxicologia Geral
1565	99	155	45	34	1	1	Fundamentos Filosóficos E Sócio-Hist. Da Educação
1566	165	158	30	31	1	1	Bioestatística
1567	97	19	60	36	1	1	Didática Da Matemática I
